CODIGO,MUNICIPIO,CASINO,ASEO,TERRITORIAL,FCM,IMPUESTOS,PATENTES,CIRCULACION,ACUICOLA,MINERAS
01101,IQUIQUE,0,1072850,6275639,2927867,15769108,8265403,1228066,5432,219577
01107,ALTO HOSPICIO,0,124979,355893,6048042,1496237,748081,392263,0,62477
01401,POZO ALMONTE,0,5622,193277,1318549,2014044,1690431,130336,0,1066711
01402,CAMIÑA,0,288,55,1394263,6124,2595,3474,0,86891
01403,COLCHANE,0,749,0,984534,25519,0,25519,0,82601
01404,HUARA,0,1072,25509,1166072,308938,226575,56854,0,673916
01405,PICA,0,10916,197056,1044257,1440488,1186999,56433,0,963399
02101,ANTOFAGASTA,2212016,1978242,9034570,6889216,24611695,11831380,3745745,14132,2244610
02102,MEJILLONES,0,48674,718959,1058579,3127574,2242062,166553,5375,422238
02103,SIERRA GORDA,0,2745,210429,1140070,2568202,2119978,237795,0,1748027
02104,TALTAL,0,5147,32915,1329853,547581,423162,91504,0,1573768
02201,CALAMA,1069405,1807936,3425086,4243481,8792046,3635904,1731056,0,1443481
02202,OLLAGÜE,0,0,2530,1192698,151347,144576,4241,0,99488
02203,SAN PEDRO DE ATACAMA,0,48217,74390,2049008,880277,656930,148957,0,873913
02301,TOCOPILLA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02302,MARÍA ELENA,0,0,84865,770114,972431,784901,102665,0,878926
03101,COPIAPÓ,688388,541716,2012136,7054954,6937219,3512786,1412297,3462,1184602
03102,CALDERA,0,144213,134182,3524926,943747,580626,228939,58990,134138
03103,TIERRA AMARILLA,0,12614,238860,1164449,2551014,2007624,304530,0,1048138
03201,CHAÑARAL,0,18345,118299,3111684,738155,495351,124505,855,470130
03202,DIEGO DE ALMAGRO,0,6889,233023,1185644,759909,404719,122167,0,1315388
03301,VALLENAR,0,86988,377877,3336344,1388630,647864,362889,0,774418
03302,ALTO DEL CARMEN,0,0,48870,1501226,207509,17361,141278,0,477026
03303,FREIRINA,0,2843,39388,1211518,97354,31924,26042,0,290983
03304,HUASCO,0,70650,74849,1088306,1039748,805416,159483,407,72277
04101,LA SERENA,0,938420,4806945,8279777,11005197,3898090,2300162,0,139025
04102,COQUIMBO,0,916171,2558198,11319623,7244815,3301567,1385050,73729,89568
04103,ANDACOLLO,0,10240,16796,1286511,521678,410712,94170,0,80514
04104,LA HIGUERA,0,978,14193,1018948,305612,88995,202424,6911,289661
04105,PAIGUANO,0,8303,52578,1594206,107418,25874,28966,0,89367
04106,VICUÑA,0,238090,6014,2813003,424430,282931,135485,0,308034
04201,ILLAPEL,0,33571,105781,3094223,545604,245439,194384,0,222845
04202,CANELA,0,3596,37154,1469220,365991,287588,41249,0,185137
04203,LOS VILOS,0,66145,265806,2789878,668236,240196,162234,1115,156707
04204,SALAMANCA,0,33197,131219,1884261,1585436,1215274,238943,0,397620
04301,OVALLE,0,102623,758564,10284152,2564805,1250515,555726,0,226822
04302,COMBARBALÁ,0,4961,16627,1918525,124428,53008,54793,0,180203
04303,MONTE PATRIA,0,6027,93109,3599608,318542,104879,120554,0,161096
04304,PUNITAQUI,0,2827,32185,1508411,209019,109287,67547,0,70634
04305,RÍO HURTADO,0,0,9913,1155278,171841,10357,151571,0,88207
05101,VALPARAÍSO,0,2407063,4927605,9318188,12644212,6361189,1355418,0,4869
05102,CASABLANCA,0,39074,830459,1038647,3054094,1942531,281104,0,27617
05103,CONCÓN,0,454216,3268733,1296934,4838547,934387,635427,0,784
05104,JUAN FERNÁNDEZ,0,356,1232,1113273,9374,8142,0,0,0
05105,PUCHUNCAVÍ,0,137765,681919,1283146,1624412,451767,490726,0,9110
05107,QUINTERO,0,116551,668971,4478236,1681092,674741,337380,0,8769
05109,VIÑA DEL MAR,0,3884966,14425454,4832734,26334146,9080011,2828681,0,3607
