COMUNA_NAME,GLOSA,TOTAL
Aisén,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados.","47036353,41"
Aisén,"Pescado congelado, excepto los filetes y demás carne de pescado de la partida 0304.","6633680,2"
Aisén,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 0304.","3616028,9"
Algarrobo,Agrios (cítricos) frescos o secos.,324000
Algarrobo,"Uvas, frescas o secas, incluidas las pasas.",265220
Algarrobo,"Dátiles, higos, piñas (ananás), paltas (aguacates)*, guayabas, mangos y mangostanes, frescos o secos.",178560
Algarrobo,"Topadoras frontales (buldóceres), topadoras angulares («angledozers»), niveladoras, traíllas («scrapers»), palas mecánicas, excavadoras, cargadoras, palas cargadoras, compactadoras y apisonadoras (aplanadoras), autopropulsadas.",16000
Alhué,"Oro (incluido el oro platinado) en bruto, semilabrado o en polvo.","155711959,3"
Alhué,Minerales de cinc y sus concentrados.,"5772430,1"
Alto Hospicio,"Motores de émbolo (pistón) alternativo y motores rotativos, de encendido por chispa (motores de explosión).",358410
Alto Hospicio,"Partes identificables como destinadas, exclusiva o principalmente, a las máquinas o aparatos de las partidas 8425 a 8430.",261408
Alto Hospicio,"Automóviles de turismo y demás vehículos automóviles concebidos principalmente para el transporte de personas (excepto los de la partida 8702), incluidos los del tipo familiar («break» o «station wagon») y los de carreras.","241180,19"
Alto Hospicio,"Desperdicios y desechos (chatarra), de fundición, hierro o acero; lingotes de chatarra de hierro o acero.","206641,16"
Alto Hospicio,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705.,116346
Alto Hospicio,"Topadoras frontales (buldóceres), topadoras angulares («angledozers»), niveladoras, traíllas («scrapers»), palas mecánicas, excavadoras, cargadoras, palas cargadoras, compactadoras y apisonadoras (aplanadoras), autopropulsadas.",65352
Alto Hospicio,Motores de émbolo (pistón) de encendido por compresión (motores diésel o semi-diésel).,62938
Alto Hospicio,"Partes identificables como destinadas, exclusiva o principalmente, a los motores de las partidas 8407 u 8408.",45188
Alto Hospicio,"Aparatos eléctricos de alumbrado o señalización (excepto los artículos de la partida 8539), limpiaparabrisas, eliminadores de escarcha o vaho, eléctricos, de los tipos utilizados en velocípedos o vehículos automóviles.",25970
Alto Hospicio,Remolques y semirremolques para cualquier vehículo; los demás vehículos no automóviles; sus partes.,23000
Alto Hospicio,Vehículos automóviles para transporte de mercancías.,4500
Alto Hospicio,"Desechos, desperdicios y recortes, de caucho sin endurecer, incluso en polvo o gránulos.","3326,28"
Alto Hospicio,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos receptores de televisión, incluso con aparato receptor de radiodifusión o grabación o reproducción de sonido o imagen incorporado.",1800
